2020-03-14-intervencion_presidente,,2020-03-17-Intervencion_presidente_ERTES_conciliacion,,2020-03-19_Rueda_prensa_comite_tecnico,,2020-03-19_Rueda_prensa_min_sanidad_y_vice_segundo,
Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra
37,medidas,34,social,27,casos,29,gobierno
25,gobierno,33,medidas,20,datos,27,sociales
21,virus,32,gobierno,17,porciento,26,social
18,alarma,28,empresas,15,mil,21,medidas
18,gracias,25,crisis,15,personas,18,sanidad
17,consecuencia,24,conjunto,12,ministerio,18,seguridad
16,españa,23,pandemia,12,autónomas,17,ministerio
15,salud,22,españa,12,medidas,17,personas
15,pregunta,21,recursos,12,residencias,16,situación
14,pandemia,21,frente,11,comunidades,16,quiero
14,ciudadanos,20,económico,11,gracias,15,trabajando
14,respuesta,20,país,10,grupos,15,servicios
14,personas,20,trabajadores,10,decreto,13,sistema
13,decreto,19,virus,9,prensa,12,ministro
13,servicios,18,importante,9,treinta,12,reforzar
12,crisis,18,económica,9,eh,12,sanitario
12,ministro,16,sociales,9,gente,12,seguir
12,políticos,16,debemos,9,mayores,12,comunidades
12,presidente,15,emergencia,9,información,12,garantizar
11,ministros,15,públicos,9,transporte,12,autónomas
11,conjunto,15,real,9,situaciones,11,virus
11,público,15,millones,9,policía,11,profesionales
11,comprar,14,personas,9,importante,11,sentido
11,instrumentos,14,decreto,8,sesenta,11,necesario
10,social,14,euros,8,m,11,ministros
10,propagación,13,situación,8,fuerzas,11,gente
10,fuerzas,13,consecuencia,8,virus,11,crisis
10,lógicamente,13,caso,8,quiero,10,salud
9,consejo,13,presidente,8,colectivos,10,tarea
9,pública,13,española,8,servicios,10,país
9,país,12,historia,8,real,10,frente
9,garantizar,12,salud,7,rueda,10,consejeros
9,territorio,11,economía,7,transportes,10,mil
9,responsabilidad,11,mil,7,cuarenta,10,productos
9,movilidad,10,desgraciadamente,7,comunas,10,protección
9,caso,10,mundo,7,e,10,gracias
9,presidentes,10,aprobado,7,españoles,10,centros
9,duda,10,alarma,7,civil,9,coronavirus
9,insisto,10,duda,7,movilidad,9,disposición
9,frenar,10,autónomos,7,orden,9,millones
9,relación,10,atrás,7,preguntas,9,atención
8,necesarias,10,llegar,6,centro,9,martes
8,quiero,10,insisto,6,madrid,8,sanitarios
8,nivel,10,hablando,6,años,8,casos
8,territorios,10,pregunta,6,barcelona,8,presidente
7,coronavirus,10,lógicamente,6,nacional,8,nacional
7,emergencia,9,económicas,6,forma,8,orden
7,expertos,9,económicos,6,centros,8,residencias
7,casa,9,gracias,6,trabajando,8,mayores
7,trabajadores,9,temporal,6,social,8,colectivos
7,empresarios,8,sanitaria,6,especiales,8,vulnerables
7,actividad,8,países,5,país,8,consejo
7,real,8,sociedad,5,mañana,8,personal
7,sanidad,8,batalla,5,sociales,8,fuerzas
7,distancia,8,falta,5,resto,7,emergencia
7,resto,8,conscientes,5,letalidad,7,insisto
7,coordinación,8,producción,5,entendemos,7,recursos
7,importante,8,pequeñas,5,nivel,7,trescientos
7,unidos,8,familias,5,ejército,7,euros
6,decisiones,8,empresarios,5,gobierno,7,proteger
6,sanitaria,8,tejido,5,países,7,defensa
6,sanitarios,8,garantizar,5,coordinación,7,fondo
6,españoles,8,español,5,proteger,7,hogar
6,desgraciadamente,8,apoyo,5,poquito,6,vicepresidente
6,efectos,7,quiero,5,seguimos,6,público
6,autoridades,7,duros,5,utilización,6,juntos
6,seguridad,7,sufriendo,5,reducción,6,batalla
6,comunidades,7,españoles,5,tipo,6,medios
6,actividades,7,democracia,5,estricta,6,diez
6,alimentos,7,actuar,5,vida,6,mascarillas
6,productos,7,comunidad,5,falta,6,sanitaria
6,establecimientos,7,evidentemente,5,obviamente,6,apoyo
6,mayores,7,definitiva,5,cataluña,6,equipos
6,restricción,7,medianas,4,evolución,6,armadas
6,administraciones,7,consejo,4,coronavirus,5,decreto
6,mañana,7,productivo,4,fernando,5,autonómicos
6,información,7,semana,4,ministro,5,compra
6,comunicación,7,movilización,4,palabra,5,tipo
6,evidencia,7,democrática,4,ciento,5,material
6,problema,7,casa,4,valorar,5,colaboración
6,viva,7,recuperar,4,nueve,5,vicepresidencia
6,debate,7,europea,4,setecientos,5,administraciones
5,económica,7,preguntas,4,navarra,5,aprobamos
5,necesarios,6,coronavirus,4,edad,5,paquete
5,precisamente,6,recuperación,4,riesgo,5,significa
5,máxima,6,consecuencias,4,profesionales,5,dejar
5,centro,6,proteger,4,cuerpos,5,escudo
5,debemos,6,mayores,4,seguridad,5,derecho
5,autónomos,6,protección,4,personal,5,reunión
5,sociales,6,presidentes,4,concreto,5,alimentación
5,económico,6,autónomas,4,ancianos,5,tercer
5,español,6,esfuerzo,4,cercanías,4,comparecencia
5,quince,6,sanitario,4,hora,4,esfuerzos
5,autoridad,6,punto,4,control,4,duros
5,ejercicio,6,servicios,4,número,4,pico
5,locales,6,prestación,4,permitir,4,objetivo
5,asistencia,6,seguridad,4,servicio,4,materia
5,protección,6,unión,4,graves,4,común
5,necesidad,6,representa,4,labor,4,necesarios
5,recomendaciones,6,sanidad,4,situación,4,protocolo
5,contagio,6,expertos,4,españa,4,coordinación
5,función,6,gustaria,4,actividad,4,caso
5,autonómicos,6,aplausos,4,muestra,4,especialmente
5,colaboración,6,cadena,4,únicamente,4,cabo
5,comunidad,6,reconstrucción,4,mantener,4,plan
5,ciudadano,6,pública,4,tratar,4,choque
5,tomar,6,presupuestos,4,establece,4,desarrollando
5,preguntas,5,fuerzas,4,cuestión,4,importante
5,hablando,5,viendo,4,impacto,4,trabajadores
5,científica,5,precedentes,4,comentaba,4,afrontar
5,restringir,5,efectos,4,cuarentena,4,cien
5,vive,5,administraciones,4,fallecidos,4,compromiso
4,extraordinario,5,responsabilidad,4,obtener,4,derechos
4,arma,5,disciplina,4,implementar,4,asistencia
4,esté,5,comunidades,4,semana,4,atender
4,situación,5,curva,3,punto,4,ministra
4,escenarios,5,frenar,3,viendo,4,intervención
4,fase,5,escudo,3,comité,4,mandado
4,proteger,5,impacto,3,sanidad,4,iglesias
4,ganar,5,ley,3,defensa,3,afectados
4,políticas,5,autonómicos,3,interior,3,ciudadanos
4,española,5,unidos,3,simón,3,ido
4,familias,5,ministros,3,año,3,tomando
4,empresas,5,empresarial,3,equipo,3,momentos
4,económicos,5,compromiso,3,diario,3,seguiremos
4,grupos,5,ciudadanos,3,indica,3,viendo
4,vulnerables,5,dejar,3,veinticinco,3,alarma
4,evitar,5,vulnerables,3,novecientos,3,humanos
4,diez,5,apoyar,3,fallecido,3,materiales
4,necesario,5,especial,3,ejem,3,órdenes
4,interior,5,difícil,3,vasco,3,residentes
4,cuerpos,5,cien,3,termina,3,gestión
4,autónomas,5,circunstancias,3,mencionado,3,prensa
4,órdenes,5,actividad,3,sólida,3,quitamos
4,intervención,5,creemos,3,dieciocho,3,producción
4,subrayar,5,facilitar,3,grave,3,realizando
4,circular,5,necesario,3,compañeros,3,falta
4,centros,5,sistema,3,aire,3,máximo
4,residencia,5,contamos,3,acciones,3,finalmente
4,e,5,profesionales,3,marco,3,doscientos
4,servicio,5,resistiremos,3,operación,3,marzo
4,queda,5,contener,3,quisiera,3,riesgo
4,domicilio,5,paso,3,armadas,3,convertir
4,civiles,5,solidaridad,3,sanitario,3,conjuntamente
4,públicas,5,quince,3,pasamos,3,paso
4,medios,4,comité,3,formación,3,operativos
4,transporte,4,lucha,3,persona,3,impacto
4,unidad,4,europeos,3,puerto,3,economía
4,ideologías,4,excepcionales,3,zaragoza,3,familias
4,semanas,4,línea,3,guardia,3,unidos
4,distintos,4,mantener,3,perdón,3,máxima
4,partidos,4,diario,3,aeropuertos,3,laboral
4,amigo,4,haga,3,renfe,3,reiterar
4,batalla,4,parar,3,ave,3,marcha
4,comparecencias,4,distintas,3,significa,3,conjunto
4,victoria,4,agentes,3,diez,3,absolutamente
4,disciplina,4,superar,3,soldados,3,clave
4,pasar,4,hito,3,misiones,3,agradecer
4,podremos,4,tercer,3,difícil,3,pública
4,volver,4,sentir,3,tema,3,condiciones
4,calles,4,ámbito,3,distintas,3,enormemente
4,vayamos,4,combatir,3,militares,3,fundamental
4,dinero,4,vencerlo,3,disciplina,3,telemática
4,llegar,4,poderes,3,casa,3,diecinueve
4,pan,4,sentido,3,podamos,3,mañana
4,sacar,4,colaboración,3,sentido,3,situaciones
4,elecciones,4,políticos,3,afecto,3,domicilio
4,hablar,4,necesitamos,3,llegar,3,entorno
4,lunes,4,conocimiento,3,calle,3,plantillas
4,impacto,4,salida,3,riesgos,3,individual
4,europa,4,decidido,3,material,3,desgracia
4,ceuta,4,choque,3,colaboración,3,enfrentar
4,defender,4,explicar,3,local,3,responder
4,global,4,ciento,3,menores,3,equipo
4,marcha,4,responde,3,sigan,3,afectadas
3,comité,4,puedan,3,cumplir,3,responsable
3,nueve,4,investigación,3,josé,3,disponibles
3,mundial,4,científica,3,alarma,3,sector
3,recursos,4,tele,3,responsabilidad,3,sociedad
3,ido,4,medida,3,teniendo,3,miembros
3,contención,4,trabajadoras,3,noventa,3,tomar
3,siguiendo,4,rotundo,3,vehículos,3,países
3,pandemias,4,liquidez,3,importantes,3,atrás
3,misión,4,subrayar,3,redes,3,económicas
3,trasladar,4,labor,3,serrallo,3,nivel
3,mano,4,comunicación,3,española,3,comunicación
3,siguientes,4,recomendaciones,3,sociedad,3,forma
3,apoyo,4,vemos,3,quince,3,guerra
3,marzo,4,periodistas,3,cercanias,3,entrar
3,competente,4,frenado,3,incluyendo,3,pregunta
3,anunció,4,seco,3,autobús,3,ciudadano
3,áreas,4,hora,3,aéreo,3,decia
3,ministra,4,difíciles,3,máximo,3,responsables
3,quedan,4,trabajador,3,sistema,3,relación
3,actuación,4,brillo,3,periodo,3,cataluña
3,directas,4,europeo,3,ehh,3,debate
3,sistema,4,nivel,3,compañías,2,enfermedad
3,nacional,4,ayuda,3,distanciamiento,2,conseguiremos
3,asimismo,4,opinión,3,tratando,2,demostrando
3,tarea,4,producto,3,clave,2,mundo
3,armadas,4,bruto,3,medios,2,escatimar
3,administración,4,colegas,3,concretas,2,luz
3,gestión,4,términos,3,pregunta,2,referirme
3,marco,3,pronta,3,territorios,2,recordar
3,adquisición,3,nueve,3,implementación,2,incremento
3,farmacéuticos,3,distingue,3,proceso,2,acercando
3,desplazamiento,3,territorios,3,mensaje,2,colectiva
3,habitual,3,presentes,2,portavoz,2,convoque
3,circulación,3,sábado,2,moncloa,2,empezar
3,sanitarias,3,determinación,2,comunicación,2,descender
3,tráfico,3,paliar,2,comienza,2,victoria
3,motivos,3,misión,2,once,2,dije
3,suspendida,3,sanitarios,2,media,2,tomado
3,suspensión,3,públicas,2,responsable,2,tomamos
3,bienes,3,manos,2,emergencias,2,poniendo
3,posibilidad,3,líderes,2,sanitarias,2,funcionando
3,metro,3,doblegar,2,comparecencia,2,incorporando
3,públicos,3,alcanzar,2,salvador,2,cuarto
3,ocio,3,estaremos,2,vicepresidente,2,curso
3,lugares,3,superior,2,derechos,2,once
3,autonómicas,3,semanas,2,responsables,2,enfermería
3,esenciales,3,vacuna,2,técnicos,2,plaza
3,consideración,3,tarea,2,simon,2,estudiantes
3,vencer,3,forjar,2,técnico,2,privadas
3,colores,3,sindicatos,2,informar,2,suministros
3,ocasiones,3,problemas,2,viviendo,2,español
3,común,3,comerciantes,2,entorno,2,desarrollar
3,acción,3,decía,2,cuatrocientos,2,mecanismos
3,provincias,3,cooperación,2,incremento,2,agentes
3,municipios,3,caída,2,diecisiete,2,oportuno
3,cooperación,3,reforzar,2,bloques,2,red
3,definitiva,3,plan,2,comportamiento,2,equidad
3,esfuerzos,3,hiciera,2,comunitaria,2,asegurar
3,necesitan,3,movilizar,2,castilla,2,esté
3,solidaridad,3,doscientos,2,inicio,2,industria
3,territorial,3,porciento,2,normalmente,2,organización
3,salir,3,diecisiete,2,asociados,2,informaciones
3,curva,3,espacio,2,atención,2,aparecido
3,fortaleza,3,quedar,2,diferencias,2,subrayar
3,mensajes,3,dure,2,vista,2,derrotar
3,persona,3,finalmente,2,comunidad,2,correcta
3,sentido,3,colectivos,2,fecha,2,instrucciones
3,capaces,3,telecomunicaciones,2,setenta,2,puedan
3,actuando,3,derecho,2,neumonía,2,disponemos
3,recordar,3,cuotas,2,supera,2,asuntos
3,familia,3,ingresos,2,precaución,2,justicia
3,enfermedad,3,persona,2,paso,2,produzcan
3,mundo,3,temporales,2,fuerza,2,oportunas
3,ciudadanía,3,artes,2,previstas,2,suministro
3,explica,3,importantes,2,expresar,2,palabra
3,comparecencia,3,jornadas,2,sinceras,2,tardes
3,confinamiento,3,coyuntural,2,perdido,2,toca
3,podamos,3,normalidad,2,querido,2,pilar
3,fórmula,3,afectados,2,batalla,2,supone
3,importantes,3,creación,2,cariño,2,públicos
3,cotidianidad,3,sector,2,demostrando,2,historia
3,contempla,3,economia,2,cincuenta,2,españa
3,cálculos,3,saldremos,2,ciudades,2,responde
3,asia,3,venido,2,apoyo,2,especial
3,evidentemente,3,actividades,2,viaje,2,económica
3,melilla,3,permitidas,2,alimentos,2,desatendido
3,evidente,3,contagio,2,unidades,2,económico
3,instituciones,3,esté,2,castellón,2,debemos
3,verse,3,ministerio,2,suárez,2,paramos
3,fronteras,3,ven,2,prat,2,persona
3,vicepresidente,3,prueba,2,málaga,2,ingresos
3,debida,3,organización,2,príncipe,2,evitar
3,atajar,3,mundial,2,valencia,2,despidos
3,cataluña,3,respuesta,2,plaza,2,aprender
3,espacio,3,servidores,2,delegación,2,capacidad
3,convencido,3,voluntad,2,residencia,2,desamparado
3,contaminación,3,científicos,2,estaciones,2,trabajadora
3,oposición,3,nacional,2,sevilla,2,cuidar
3,circunstancia,3,dura,2,delegaciones,2,prestación
3,restricciones,3,e,2,territorio,2,visto
3,tenerife,3,defender,2,anoche,2,moratoria
2,aprobado,3,digamos,2,condición,2,hipotecas
2,anunciado,3,cuarentena,2,efectivamente,2,hogares
2,frente,3,medios,2,principal,2,vulnerabilidad
2,explicado,3,venceremos,2,carácter,2,compatriotas
2,estática,3,instituciones,2,encontrar,2,pagar
2,adaptando,3,prensa,2,cara,2,brevedad
2,escenario,3,extraordinarias,2,sitio,2,tensión
2,dinámico,3,año,2,armas,2,instrumento
2,epidemias,3,decretar,2,ofrecerle,2,consecuencias
2,ideas,3,doctor,2,mina,2,línea
2,temblar,3,trabajadora,2,experiencia,2,difíciles
2,población,3,años,2,permiten,2,mantener
2,atender,3,particular,2,afrontar,2,vicepresidentes
2,adoptar,3,dispuesto,2,espíritu,2,ayuntamientos
2,drásticas,3,defensa,2,sacrificio,2,dependencia
2,quieres,3,atender,2,incómodas,2,comité
2,acordado,3,diciendo,2,continuar,2,cinueve
2,paliar,3,fundamentales,2,teniente,2,diputaciones
2,apoyó,3,interior,2,primeras,2,dotado
2,colectivos,3,empresa,2,palabras,2,reparto
2,mecanismos,3,consciente,2,causa,2,reforzando
2,despidos,3,envergadura,2,nombre,2,dispositivos
2,tercer,3,constitución,2,respeto,2,protocolos
2,dificultades,3,abordar,2,incidentes,2,actual
2,vacuna,3,decisión,2,detenciones,2,prioridad
2,iremos,3,decirles,2,diariamente,2,urgente
2,aprobando,3,gobiernos,2,centraron,2,médica
2,explicar,3,derechos,2,cumplimiento,2,asistir
2,decisión,3,necesarios,2,especial,2,colectivo
2,declaración,3,confianza,2,ayudar,2,refuerzo
2,congreso,2,amigos,2,vulnerables,2,higiene
2,diputados,2,enviar,2,n,2,habilitar
2,perfectamente,2,ocasiones,2,sirva,2,comedores
2,noche,2,ideologías,2,trescientas,2,posibles
2,dirección,2,clases,2,entrevistas,2,espacios
2,defensa,2,padres,2,quinientos,2,civil
2,transportes,2,constantemente,2,faltan,2,solicitado
2,mobilidad,2,laborales,2,dispersos,2,reconocer
2,agenda,2,mayoría,2,geografía,2,orgullo
2,urbana,2,desarrollado,2,funcionamiento,2,necesarias
2,salvador,2,pasos,2,esenciales,2,dejando
2,competencia,2,certezas,2,distribución,2,piel
2,dictar,2,momentos,2,sanitarios,2,camas
2,acuerdos,2,eficacia,2,autoridades,2,papel
2,resoluciones,2,actores,2,esforzado,2,trabajadoras
2,disposiciones,2,específica,2,locales,2,clase
2,esfera,2,entrega,2,fundamental,2,vecinos
2,específica,2,caracterizado,2,distintos,2,redes
2,civil,2,caracteriza,2,ciudad,2,patriotismo
2,eficaz,2,distancia,2,normas,2,fuerza
2,cumplimiento,2,seguir,2,salir,2,podido
2,dispondremos,2,isla,2,decirles,2,superar
2,competencias,2,muchísimo,2,reseñar,2,inclusión
2,vías,2,organismo,2,veinticuatro,2,unión
2,realización,2,vencer,2,aumentado,2,europea
2,prestación,2,mensaje,2,contacto,2,estudiar
2,discapacidad,2,partidos,2,auxilio,2,punto
2,causa,2,oposición,2,necesitan,2,seguimos
2,fuerza,2,altura,2,decía,2,política
2,naturaleza,2,colectivo,2,cosa,2,europa
2,deberán,2,propagación,2,competencia,2,camino
2,ámbito,2,meta,2,sepan,2,pone
2,quinto,2,altas,2,secretaria,2,perfil
2,excepción,2,médicas,2,noticia,2,único
2,cos,2,infectados,2,punta,2,preguntas
2,suspende,2,victoria,2,núcleos,2,salvador
2,apertura,2,contagios,2,inferior,2,concreta
2,consumidores,2,permite,2,identificado,2,distribución
2,aglomeraciones,2,hacerla,2,empieza,2,comprar
2,posibles,2,picado,2,larga,2,cuestión
2,desarrollen,2,dejan,2,distancia,2,competencias
2,entrega,2,afectando,2,tercio,2,anteriormente
2,particular,2,global,2,viajeros,2,elevar
2,trabajadoras,2,distribución,2,red,2,partes
2,militares,2,finanzas,2,positivos,2,requisar
2,privados,2,consumo,2,actividades,2,aduanas
2,cohesión,2,razón,2,autorizadas,2,político
2,asegurar,2,simultáneamente,2,cuestiones,2,alquiler
2,abastecimiento,2,descendente,2,específicas,2,respondiendo
2,mercado,2,aprobar,2,publicado,2,principio
2,orden,2,formaciones,2,condiciones,2,curva
2,porciento,2,patronal,2,autobuses,2,reconoció
2,ferroviarios,2,necesita,2,conductor,2,libertad
2,viajeros,2,propuestas,2,caso,2,expresión
2,carretera,2,mercado,2,necesidades,2,partido
2,marítimo,2,valiosas,2,vigencia,2,codo
2,suministro,2,paquete,2,islas,2,independientemente
2,críticas,2,anunció,2,viene,2,producido
2,teniendo,2,veinte,2,mobilidad,2,decisiones
2,video,2,íntegramente,2,agenda,2,requieren
2,diferencias,2,privados,2,urbana,2,opinión
2,constitución,2,corto,2,agradecimiento,1,francesa
2,autonomías,2,enorme,2,empresas,1,palacio
2,historia,2,desafío,2,puedan,1,moncloa
2,altura,2,enfrentando,2,problema,1,conversamos
2,acciones,2,especialmente,2,unidos,1,estabas
2,principios,2,venimos,2,interpretar,1,ejemplos
2,próximas,2,vulnerable,2,aumentando,1,ciencias
2,gobiernos,2,cinueve,2,pico,1,encaminadas
2,ocurre,2,podía,2,estable,1,combatir
2,estarán,2,prestaciones,2,explicado,1,tratar
2,obligación,2,locales,2,relaciones,1,contener
2,seres,2,garantizaremos,2,garantizar,1,revertir
2,objetivo,2,vivienda,2,s,1,evolución
2,eliminarlo,2,dificultades,2,puntos,1,número
2,sacrificios,2,pago,2,utilizando,1,ganarle
2,médicas,2,deudores,2,incorporar,1,sentirse
2,enfermos,2,desarrollando,2,sobrellevar,1,orgulloso
2,economía,2,entidades,2,misterio,1,responsabilidad
2,pido,2,evitar,2,muchísima,1,disciplina
2,cadena,2,laboral,2,ayudándonos,1,actuando
2,transmisión,2,permitir,2,favor,1,españoles
2,actuamos,2,necesidad,2,respuestas,1,verdaderamente
2,necesita,2,derivadas,2,temas,1,amenaza
2,pase,2,permitan,2,principales,1,excepcional
2,hijos,2,fuerza,2,acusaciones,1,apellido
2,extraordinaria,2,desempleo,2,perfil,1,constatar
2,máximo,2,previa,2,contagiadas,1,imagen
2,profesionales,2,cobro,2,cero,1,considerado
2,jóvenes,2,aprobación,2,regreso,1,mejores
2,cuidando,2,implica,2,capacidad,1,leyenda
2,techo,2,serie,2,deberia,1,fama
2,ayuda,2,cese,2,tomado,1,justificadas
2,oportunidad,2,compatible,2,evitar,1,cuentan
2,protegernos,2,rapidez,2,actuar,1,desempeñando
2,capacidad,2,gustaría,2,toma,1,constituye
2,colaborando,2,tomemos,2,progresivamente,1,esencial
2,europeas,2,despidan,2,intensamente,1,ganado
2,internacionales,2,estás,2,detallados,1,admiración
2,is,2,mantenga,2,siguen,1,gratitud
2,viendo,2,sepan,2,cuidado,1,transmite
2,cuidar,2,vuelva,2,digo,1,entero
2,vida,2,empresario,2,parciales,1,balcones
2,histórica,2,largas,2,fallado,1,anochecer
2,economia,2,mercados,2,menor,1,verde
2,artículo,2,avales,2,formas,1,arma
2,farmacia,2,cero,2,madriz,1,nació
2,cancelación,2,cincuenta,2,llegado,1,serie
2,gustaría,2,incorporamos,2,versiones,1,anunciar
2,habido,2,marcha,2,principio,1,recordado
2,equipo,2,d,2,partidas,1,doctor
2,opinión,2,cuarto,2,contagios,1,fernando
2,contundentes,2,cantidad,2,preguntan,1,simón
2,ciudadania,2,dotar,2,llegan,1,sitio
2,galicia,2,carlos,2,confinamiento,1,cámaras
2,distintas,2,adoptadas,2,efecto,1,alcanzar
2,trasladado,2,empleados,2,extra,1,doblegar
2,creemos,2,asumamos,2,entender,1,vencerlo
2,sufriendo,2,periodo,2,suficiente,1,comenzamos
2,corresponde,2,cara,2,antihigiénico,1,dictó
2,llega,2,arrendatarios,2,presencia,1,ámbito
2,marisol,2,dinámica,2,rápidos,1,consistente
2,transmitiendo,2,siguientes,2,minutos,1,correctamente
2,ciencia,2,puntos,2,aplicar,1,treinta
2,fundamento,2,público,2,cualquiera,1,gradualmente
2,tomado,2,menores,2,pamplona,1,médicos
2,base,2,situaciones,2,desinfección,1,internos
2,homogénea,2,fase,2,aeropuerto,1,quinto
2,málaga,2,salvar,2,olfato,1,habiendo
2,sevilla,2,mañana,2,gusto,1,superado
2,madrid,2,reconoce,2,síntomas,1,pruebas
2,frenarlo,2,manual,2,acerca,1,selectivas
2,organismos,2,infalible,2,científica,1,novia
2,gente,2,nacionales,2,deficientes,1,alcanzado
2,europeo,2,demostrando,2,discapacidades,1,jimmy
2,organización,2,ciudadanas,2,flexibilidad,1,medicina
2,escasos,2,base,2,generalizar,1,kos
2,necesitamos,2,evaluar,2,zona,1,asimismo
2,miembros,2,deja,2,salidas,1,instalaciones
2,ministras,2,bienestar,2,evidentemente,1,áreas
2,sanitario,2,humana,2,vuelos,1,sistemas
2,ejecutivo,2,unidad,2,exteriores,1,única
2,ee,2,vidas,2,facilitar,1,raíz
2,aislamiento,2,generosas,1,competente,1,informan
2,citar,2,largos,1,palacio,1,consagró
2,atiende,2,calma,1,secretario,1,trágicos
2,corazón,2,tengamos,1,posterior,1,this
2,justifica,2,paciencia,1,analiza,1,facciones
2,barcelona,2,resistir,1,recordamos,1,referencia
2,casos,2,muralla,1,formado,1,considerados
2,perro,2,puesto,1,representantes,1,esenciales
2,mary,2,decenas,1,dr,1,creemos
2,canaria,2,rueda,1,ele,1,importadores
2,medicamento,2,agencia,1,capitaneado,1,fabricantes
2,transmisores,2,actuaciones,1,alertas,1,disponen
2,diario,2,fronteras,1,prevista,1,origen
2,concretas,2,tipo,1,ofrecieron,1,balance
2,tipo,2,simon,1,edificio,1,estudiando
2,herramientas,2,redes,1,dejando,1,cartier
2,volveré,2,subir,1,veinte,1,productora
2,agentes,2,tendremos,1,valiosas,1,efectuar
2,sindicatos,2,seamos,1,comenzamos,1,tareas
2,seguir,2,menor,1,inmigración,1,reforzado
2,racialmente,2,propietarios,1,feudo,1,provisiones
2,pico,2,abrir,1,hola,1,demandados
2,cuestiones,2,vigor,1,gestión,1,impide
2,situando,2,teniamos,1,evoluciones,1,autonómicas
2,individuos,2,banco,1,sufriendo,1,decirles
2,dota,2,central,1,plena,1,distribuido
2,suficientes,2,cuestiones,1,dijiste,1,millón
2,d,2,europa,1,ojo,1,re
2,responsables,2,hicimos,1,variaciones,1,distribuyendo
2,extranjero,2,planteamos,1,bailables,1,veintisiete
2,islas,2,sobrevenida,1,diaria,1,abastecimiento
