2020-03-14-intervencion_presidente,,2020-03-17-Intervencion_presidente_ERTES_conciliacion,,2020-03-19_Rueda_prensa_comite_tecnico,,2020-03-19_Rueda_prensa_min_sanidad_y_vice_segundo,
2,aéreo,2,planes,1,tendencia,1,complicado
2,regresa,2,sanitarias,1,seguidos,1,mercados
2,pasear,2,material,1,curado,1,respeta
2,familiar,2,pasará,1,mostrado,1,cohesión
2,castilla,2,efectivamente,1,comportamientos,1,estrictamente
2,segovia,2,economías,1,digamos,1,redistribuir
2,provincia,2,europeas,1,epidemia,1,dúo
2,pasa,2,habló,1,rioja,1,disponible
2,pos,2,petición,1,pequeña,1,abordando
2,visitar,2,dirige,1,león,1,supervisión
2,vivan,2,hablo,1,marcadas,1,tipos
1,comparezco,2,consejeros,1,brote,1,ritmo
1,implicada,2,capaces,1,asociado,1,eficiencia
1,enfrenta,2,trescientos,1,eventos,1,haremos
1,requiere,2,número,1,reunión,1,información
1,extraordinarias,2,derrota,1,masivo,1,recabar
1,supone,2,allá,1,evento,1,datos
1,serio,2,inédito,1,masas,1,elaborar
1,perjuicio,2,quepa,1,obtenerlo,1,informes
1,bienestar,2,garantía,1,aviación,1,pertinentes
1,excelencia,2,vida,1,importados,1,extraoficialmente
1,rigor,2,cotidianidad,1,mató,1,diligentemente
1,científico,2,pueblo,1,nissan,1,adoptamos
1,inicio,2,ejemplar,1,tardíamente,1,adoptaremos
1,fases,2,polo,1,sustanciales,1,edo
1,cambiantes,2,entender,1,porcentajes,1,importe
1,estábamos,2,vista,1,hospitalizados,1,global
1,reforzada,2,necesarias,1,música,1,transfer
1,criterios,2,atajar,1,superiores,1,diremos
1,conocimiento,2,diputados,1,tarea,1,gastos
1,determinación,2,arma,1,acordar,1,comporta
1,descrito,2,director,1,disponibles,1,adicionalmente
1,entramos,2,necesaria,1,rené,1,entregas
1,activación,2,transparencia,1,faltando,1,liquidez
1,mecanismo,2,pedagogía,1,cambiar,1,adoptó
1,constitucional,2,impulsar,1,mitad,1,consejos
1,preparados,2,relación,1,mayo,1,anteriores
1,claras,2,definitivamente,1,ellen,1,grupo
1,ponemos,2,recuperando,1,esperar,1,sensible
1,prioridades,2,cuestión,1,ocasiones,1,trabajado
1,directamente,2,comunicado,1,incidencia,1,hora
1,iban,2,felipe,1,acabo,1,vos
1,consecuencias,2,diferencias,1,parcial,1,visitaremos
1,avanzar,2,discrepancias,1,tomar,1,encomendar
1,implementar,2,p,1,ediciones,1,estacionales
1,flexibilización,2,resto,1,bello,1,administración
1,ajuste,2,políticas,1,indiquen,1,asegurando
1,temporal,2,tomar,1,actuaciones,1,mínimos
1,denominados,2,necesariamente,1,respectivas,1,garantizados
1,artes,2,afrontar,1,áreas,1,encomendados
1,liquidez,2,notado,1,continuamos,1,vicepresidenta
1,transitorias,2,colores,1,interpretación,1,transición
1,intensas,2,miradas,1,emilio,1,ecológica
1,derivada,2,abordando,1,arroyo,1,tome
1,investigación,2,coalición,1,iniciar,1,suspensión
1,sumar,2,ejercicio,1,relato,1,garantía
1,directivas,2,libertades,1,barniz,1,eléctrico
1,plan,2,cuarenta,1,condolencias,1,bona
1,choque,2,actuó,1,desarrollo,1,tarda
1,presentamos,2,actual,1,agradecer,1,arratsalde
1,probamos,2,matices,1,muestras,1,on
1,procedió,2,autonómico,1,implicados,1,llevando
1,anunciar,2,debates,1,línea,1,informarles
1,principales,2,nacionalizar,1,quisimos,1,acciones
1,implica,2,volver,1,relatar,1,conjuntas
1,declarar,2,rápido,1,d,1,socioeconómico
1,afecta,2,interpela,1,barnizadas,1,logramos
1,prorrogarse,2,civil,1,ciencia,1,aprobar
1,autorización,1,afecto,1,reconocimiento,1,movilización
1,entiendan,1,familiares,1,similar,1,económicos
1,entrará,1,fallecidas,1,taller,1,privados
1,vigor,1,deseos,1,seiscientos,1,reciente
1,inmediatos,1,diagnosticados,1,veintidós,1,hablando
1,publicar,1,positivos,1,efectivos,1,veinte
1,boletín,1,golpeando,1,sanitaria,1,porciento
1,oficial,1,abuelos,1,difusión,1,pib
1,funciones,1,parejas,1,ferry,1,evidente
1,contempladas,1,hijos,1,melilla,1,humilde
1,amplias,1,amigas,1,efectuará,1,mano
1,presidencia,1,esperanza,1,banco,1,construir
1,competentes,1,solución,1,previa,1,capaz
1,delegadas,1,vinimos,1,tierra,1,amortiguar
1,respectivas,1,anunciando,1,hacerse,1,negativo
1,margarita,1,viviremos,1,cargo,1,declaración
1,robles,1,seres,1,centrales,1,vacía
1,fernando,1,queridos,1,nucleares,1,quede
1,granda,1,contagiados,1,trillo,1,desamparada
1,rasca,1,sanos,1,alcaraz,1,cierres
1,josé,1,viviendo,1,almaraz,1,empresas
1,luis,1,memoria,1,frentes,1,errores
1,ávalos,1,colectiva,1,inglés,1,mantenga
1,recaiga,1,adultos,1,infecciones,1,necesiten
1,titulares,1,habitantes,1,puertos,1,cumplen
1,anteriores,1,dando,1,algeciras,1,frenar
1,delegada,1,camino,1,adolfo,1,quedar
1,españolas,1,plagado,1,barajas,1,jugar
1,habilitados,1,sombras,1,canaria,1,suyos
1,instrucciones,1,contando,1,valladolid,1,adaptarnos
1,interpretativos,1,requieren,1,tenerife,1,reducir
1,integrantes,1,librar,1,norte,1,jornada
1,policía,1,contienda,1,sur,1,familia
1,corporaciones,1,profesionalidad,1,hospitales,1,garantice
1,quedaran,1,proveerles,1,clínico,1,elites
1,emergencias,1,extremar,1,asturias,1,recibir
1,definidos,1,coordinación,1,gregorio,1,consumir
1,actuaron,1,crítico,1,marañón,1,paro
1,dependencia,1,olvidaré,1,ramón,1,autónomo
1,funcional,1,repetirlo,1,cajal,1,interrumpida
1,ejército,1,apurar,1,paz,1,actividad
1,preparado,1,cuidado,1,respectivos,1,mermado
1,conservara,1,jóvenes,1,clínicos,1,cortar
1,otorga,1,reglas,1,juzgados,1,echarle
1,legislación,1,niños,1,paloma,1,casa
1,vigente,1,madres,1,antequera,1,prohibición
1,ordinaria,1,barros,1,repartidas,1,cortes
1,estime,1,higiene,1,oportunidades,1,básicos
1,anuncio,1,ayudas,1,desinfectantes,1,decidimos
1,vigencia,1,vas,1,tráfico,1,contar
1,únicamente,1,ayudar,1,chamartín,1,protejan
1,efectuar,1,ganamos,1,salud,1,permítanme
1,laboral,1,árbitros,1,haro,1,detenga
1,profesional,1,representamos,1,aprovechar,1,específicos
1,empresarial,1,llevo,1,ocasión,1,dirigidas
1,retorno,1,reuniendo,1,comentar,1,aplomo
1,cuidado,1,forma,1,video,1,seiscientos
1,menores,1,temática,1,viral,1,estratégico
1,dependientes,1,trasladar,1,ve,1,minimizar
1,especialmente,1,principales,1,señora,1,conflicto
1,entidades,1,mínimo,1,bolsas,1,aprovechar
1,financieras,1,sacrificio,1,compra,1,enorme
1,seguros,1,cometiendo,1,acompañado,1,enorgullece
1,análoga,1,empeño,1,hey,1,esfuerzo
1,realizarse,1,hitos,1,comenta,1,agradecimiento
1,individualmente,1,logro,1,cometido,1,extensivo
1,moverse,1,dije,1,indicador,1,combate
1,acompañadas,1,comparecencias,1,apreciados,1,pude
1,igualmente,1,pico,1,queridos,1,coordinar
1,permitirá,1,enfermedad,1,internacionales,1,fundamentalmente
1,vehículos,1,quedan,1,comenzó,1,ejes
1,particulares,1,lleguemos,1,aportan,1,flexibilización
1,reportaje,1,acercando,1,grado,1,regla
1,gasolineras,1,saldo,1,empatia,1,gasto
1,estaciones,1,transcurrir,1,viejo,1,supervisor
1,respetarse,1,cabe,1,tomos,1,respondió
1,obligaciones,1,caigan,1,señores,1,año
1,dictadas,1,picada,1,apellidos,1,partidas
1,acordar,1,velocidad,1,cabo,1,problemas
1,cierre,1,suben,1,efren,1,índole
1,carreteras,1,llegara,1,soldado,1,asociados
1,tramos,1,dispongamos,1,iván,1,superávit
1,razones,1,editar,1,regimiento,1,afecta
1,fluidez,1,eliminar,1,perteneciente,1,municipios
1,acceso,1,infección,1,brigada,1,pequeños
1,determinados,1,ascendente,1,galicia,1,provinciales
1,vínculos,1,planearlo,1,ocurrió,1,cargo
1,cuarto,1,descender,1,gijón,1,creado
1,educativo,1,sistemas,1,finalizar,1,extraordinario
1,educativa,1,queda,1,recalcar,1,destinado
1,universitaria,1,oh,1,comente,1,viernes
1,presencia,1,probablemente,1,guerra,1,convocado
1,etapas,1,crear,1,involucrados,1,interterritorial
1,ciclos,1,agradecer,1,pelea,1,presentes
1,grados,1,prestado,1,aproveche,1,abordar
1,cursos,1,shows,1,contienda,1,definitivo
1,niveles,1,entorno,1,bélica,1,cantidad
1,enseñanza,1,decia,1,pensamos,1,transferida
1,periodo,1,resolución,1,consejos,1,ceuta
1,mantendrán,1,agradezco,1,delatado,1,melilla
1,educativas,1,incluido,1,enseñado,1,financiar
1,modalidades,1,celebrado,1,relativo,1,prestaciones
1,latín,1,profundo,1,valores,1,básicas
1,resulte,1,incorporado,1,venir,1,tengan
1,comercial,1,anunciar,1,acercan,1,objeto
1,minorista,1,caídas,1,atender,1,específicas
1,comercios,1,iniciar,1,indicaciones,1,derivadas
1,bebidas,1,relanzando,1,dando,1,cómic
1,médicos,1,dinamismo,1,soportar,1,permítame
1,ópticas,1,inmersos,1,crear,1,destacar
1,quo,1,auge,1,creer,1,preocupantes
1,ductos,1,l,1,quedar,1,dependientes
1,ortopédico,1,venga,1,encerrados,1,discapacidad
1,higiénicos,1,seguida,1,obligación,1,cierre
1,prensa,1,estancamiento,1,saliera,1,casas
1,combustibles,1,contundentes,1,desempeñar,1,vinculación
1,equipos,1,iniciativas,1,funciones,1,ampliar
1,tecnológicos,1,anunciadas,1,pudieron,1,tele
1,telecomunicaciones,1,implementadas,1,vivir,1,domiciliaria
1,animales,1,traducir,1,virtudes,1,lugares
1,compañía,1,fundamentalmente,1,moral,1,desbordadas
1,tinto,1,procedo,1,victoria,1,dispuesto
1,riaz,1,dijimos,1,vencer,1,positivas
1,querias,1,haríamos,1,imprescindible,1,ávido
1,comercio,1,sentirse,1,enviamos,1,contagio
1,internet,1,protegidas,1,causas,1,fallecimientos
1,telefónico,1,repito,1,argentino,1,previos
1,correspondencia,1,cifra,1,seña,1,episodios
1,establecimiento,1,capacidad,1,blando,1,ipc
1,suponer,1,riqueza,1,xian,1,piden
1,riesgo,1,anual,1,recuerdo,1,chicas
1,permanencia,1,trópico,1,don,1,obviamente
1,comerciales,1,restante,1,pedro,1,desfasados
1,cuya,1,complementará,1,alameda,1,sirven
1,permitida,1,reciente,1,lópez,1,preocupante
1,debería,1,magnitud,1,vuelo,1,absoluta
1,estrictamente,1,escatimar,1,ignacio,1,originando
1,necesaria,1,necesitar,1,colonialismo,1,emplearse
1,puedan,1,pequeños,1,miembros,1,liza
1,quedando,1,dependen,1,muestro,1,elementos
1,consumo,1,nómina,1,familia,1,iban
1,evitarán,1,adelantó,1,extendemos,1,adquirirse
1,controla,1,ee,1,allegados,1,lleven
1,empleados,1,fijado,1,familiares,1,contingencia
1,mantenga,1,marco,1,anteriores,1,vulnerable
1,contagios,1,granollers,1,maratón,1,cumpliendo
1,sexto,1,gestión,1,producido,1,comunicamos
1,museos,1,áreas,1,pequeñas,1,objetivos
1,archivos,1,prioritarias,1,obligado,1,constituido
1,bibliotecas,1,devenido,1,intervenir,1,unidades
1,monumentos,1,fun,1,efectuar,1,diariamente
1,espectáculos,1,teniendo,1,merecido,1,kit
1,deportivas,1,flujo,1,reducidas,1,expliqué
1,suspenden,1,crédito,1,detención,1,prevención
1,hostelería,1,pagos,1,obstante,1,mira
1,restauración,1,médica,1,lógico,1,temperatura
1,cafeterías,1,búsqueda,1,patrullas,1,orienten
1,restaurantes,1,inmersa,1,sacamos,1,comida
1,permanecerán,1,permanecer,1,vigilar,1,reforzamiento
1,cerrados,1,margen,1,dedicado,1,dotó
1,pudiendo,1,seiscientos,1,desfavorecidos,1,asalto
1,prestar,1,financiación,1,efectuamos,1,toman
1,exclusivamente,1,básicas,1,práctica,1,preventivas
1,suspendidas,1,correspondientes,1,totalidad,1,identifiqué
1,desfiles,1,entes,1,cristianos,1,ves
1,fiestas,1,atención,1,embarcación,1,derive
1,populares,1,asistencia,1,razones,1,amplios
1,verbenas,1,dependientes,1,administrativas,1,fema
1,séptimo,1,alcance,1,cerrados,1,madriz
1,culto,1,cobertura,1,abarca,1,alojar
1,ceremonias,1,ampliamos,1,localidades,1,posibilidades
1,religiosas,1,suministros,1,esfuerzos,1,aislamiento
1,incluidas,1,energía,1,verificación,1,sobrecarga
1,fúnebres,1,agua,1,normal,1,enfrentan
1,condicionan,1,garantizando,1,producción,1,cooperación
1,adopción,1,esenciales,1,incluir,1,cubrir
1,organizativas,1,novedad,1,esfuerzo,1,necesidades
1,consistentes,1,establecido,1,petición,1,cuerpos
1,dimensiones,1,moratoria,1,profesión,1,acompañados
1,características,1,hipotecas,1,luz,1,participaron
1,garantice,1,hipotecarios,1,temporalmente,1,seguimiento
1,asistentes,1,vulnerabilidad,1,puramente,1,diario
1,respetar,1,crean,1,cerrado,1,dotación
1,recomienda,1,reducirse,1,totalmente,1,habilitación
1,octavo,1,perderá,1,equipado,1,pongamos
1,adicionales,1,desahuciado,1,podía,1,asumimos
1,dirigidas,1,atravesar,1,suponer,1,debo
1,reforzar,1,seguiremos,1,pérdida,1,imaginaba
1,funcionarios,1,mano,1,sustracción,1,preocupación
1,mantendrá,1,espero,1,importa,1,primeras
1,correspondientes,1,reunirme,1,entregas,1,preocupaciones
1,asegurando,1,potente,1,médicos,1,emociono
1,adecuado,1,destinadas,1,policias,1,agradecerle
1,funcionamiento,1,carácter,1,ciudadanos,1,llevado
1,ponen,1,actuales,1,contar,1,peticiones
1,disposición,1,negativo,1,policías,1,recibamos
1,ministerio,1,permanente,1,pensemos,1,participación
1,reserve,1,insistir,1,ámbito,1,misiones
1,facultades,1,ésto,1,territorial,1,emocionadas
1,resulten,1,asalariados,1,obra,1,literalmente
1,equidad,1,adaptar,1,coordinarnos,1,departamentos
1,noveno,1,reducir,1,señalar,1,movilizar
1,aseguramiento,1,jornada,1,actuación,1,elaborado
1,suministros,1,conciliar,1,ceuta,1,formar
1,impartir,1,cuidar,1,buscamos,1,solicitó
1,intervenir,1,establecer,1,encontraban,1,buscar
1,ocupara,1,flexibilidad,1,ubicados,1,vinculados
1,transitoriamente,1,principal,1,trasladarlos,1,servir
1,industrias,1,promover,1,albergue,1,ponemos
1,fábricas,1,ajustes,1,preparado,1,quinientas
1,talleres,1,plantilla,1,previamente,1,localizado
1,explotaciones,1,flexibilización,1,portando,1,repartidas
1,incluidos,1,expedientes,1,pedirles,1,edificios
1,titularidad,1,regulación,1,colaborando,1,habría
1,privada,1,conocidos,1,esforzándose,1,oh
1,sector,1,beneficiar,1,coronel,1,darle
1,farmacéutico,1,causados,1,perón,1,nombre
1,practicar,1,considerados,1,continuación,1,volcando
1,requisas,1,adicionalmente,1,comisario,1,hablar
1,temporales,1,contributiva,1,ángel,1,avanza
1,imponer,1,cumplan,1,gonzález,1,paradores
1,prestaciones,1,requisito,1,sumamos,1,petrer
1,personales,1,cotización,1,afectados,1,tejido
1,obligatorias,1,exigido,1,enfermedad,1,altruista
1,décimo,1,computadora,1,dije,1,logística
1,habilitado,1,posterior,1,novedad,1,limpieza
1,ordinarios,1,aceleración,1,gustaria,1,jugando
1,extraordinarios,1,reduciendo,1,perfecta,1,funcionar
1,concreto,1,periodos,1,asistiendo,1,funcione
1,mantiene,1,tramitación,1,mandaban,1,falte
1,cien,1,consultas,1,videos,1,vecinas
1,cercanías,1,percibían,1,fotografías,1,organizan
1,ferroviario,1,agilidad,1,viera,1,solidaridad
1,reducen,1,flexibiliza,1,bonito,1,bajar
1,mitad,1,acceso,1,patrullaba,1,basura
1,media,1,exoneración,1,composición,1,niños
1,regulares,1,acogerse,1,camino,1,desinfectar
1,undécimo,1,verdes,1,cristo,1,zonas
1,garantiza,1,cuenten,1,rey,1,comunes
1,alimentario,1,reducido,1,dirección,1,demuestra
1,supermercados,1,significativamente,1,alcanzaremos,1,publicó
1,tiendas,1,resumir,1,destino,1,res
1,alimentación,1,recibir,1,ayudaremos,1,publica
1,energía,1,cobrar,1,pase,1,elemento
1,eléctrica,1,priorizan,1,cana,1,sentir
1,gas,1,suspensión,1,darles,1,mejorar
1,natural,1,contratos,1,tuvimos,1,informar
1,derivados,1,reducción,1,detenido,1,componer
1,petróleo,1,opción,1,infracción,1,puesto
1,infraestructuras,1,despido,1,detenidos,1,paren
1,adoptará,1,llamamiento,1,poor,1,reiterados
1,exigencia,1,entendemos,1,desobediencia,1,refuercen
1,aseguraremos,1,ayudara,1,requisitos,1,construyendo
1,proveedores,1,seguirá,1,suiza,1,excepción
1,críticos,1,necesitando,1,vaquero,1,semana
1,reuniré,1,superamos,1,apelar,1,marca
1,conferencia,1,muertes,1,solidaridad,1,inflexión
1,haré,1,exonera,1,cansa,1,decidido
1,alto,1,empresaria,1,marca,1,dogmas
1,urgente,1,portación,1,igualmente,1,austeridad
1,liderazgo,1,permitirá,1,establecimos,1,fiscal
1,pleno,1,aliviar,1,fronteras,1,fracasaron
1,dejara,1,cargas,1,portugal,1,emprender
1,situarse,1,financieras,1,francia,1,recetas
1,centrarse,1,destinado,1,absoluta,1,pusieron
1,única,1,contundente,1,francesas,1,déficit
1,aprendamos,1,proporcionar,1,portuguesas,1,ocasión
1,cuarenta,1,necesité,1,llegaría,1,puesta
1,años,1,mantenerse,1,pos,1,opuesta
1,diecisiete,1,operativo,1,sancho,1,usando
1,tantas,1,iliquidez,1,novecientas,1,herramientas
1,conjunta,1,convertirse,1,entrada,1,explicado
1,autonómico,1,solvencia,1,san,1,histórico
1,liderando,1,solventes,1,controlado,1,recorrer
1,traslada,1,necesito,1,dijimos,1,teniendo
1,detalle,1,garantías,1,preocupaciones,1,imprescindible
1,decretado,1,permitiría,1,bulos,1,diciendo
1,escuchare,1,privado,1,falsas,1,economistas
1,sugerencias,1,garante,1,noticias,1,escuelas
1,torno,1,operaciones,1,monitorizando,1,instrumentos
1,aplicando,1,líneas,1,indicarles,1,hagamos
1,sufrimos,1,adicionales,1,habíamos,1,desgracias
1,guían,1,exportadoras,1,asesorado,1,muchísima
1,antares,1,come,1,poniéndonos,1,demostrado
1,unión,1,carismas,1,auxiliando,1,mundial
1,principio,1,ágiles,1,prestando,1,podríamos
1,objetivos,1,favoreciendo,1,requieran,1,civilizadora
1,analizaremos,1,continuamos,1,iremos,1,i
1,tomaremos,1,reestructuración,1,asistencia,1,respuesta
1,adecuadas,1,créditos,1,familias,1,coordinada
1,redistribuir,1,explotaciones,1,mujeres,1,planificar
1,amos,1,agrarias,1,víctimas,1,contundente
1,fortalezas,1,afectadas,1,maltrato,1,protege
1,escatimará,1,sequía,1,mantenemos,1,proteja
1,diálogo,1,acelerar,1,pleno,1,esclavo
1,presentes,1,puesta,1,rendimiento,1,acabo
1,levanta,1,programas,1,seguir,1,seamos
1,cabeza,1,digitalización,1,combatiendo,1,capaces
1,distingue,1,i,1,lacra,1,trance
1,coordinarnos,1,implantación,1,daño,1,experiencia
1,escucharnos,1,cerrar,1,pasó,1,apostar
1,opción,1,apartado,1,bajando,1,cara
1,condición,1,anunciarles,1,ejercicio,1,futuro
1,indispensable,1,reformado,1,cifra,1,cinturón
1,victoriosos,1,normativa,1,inocian,1,bienestar
1,concurso,1,inversiones,1,acumulación,1,muchísimas
1,usaremos,1,exteriores,1,aglomeración,1,gestionamos
1,alcance,1,impedir,1,c,1,secretaría
1,urgencia,1,hacerse,1,adelanto,1,decenas
1,concierne,1,control,1,torno,1,llegadas
1,combatir,1,españolas,1,comparado,1,villa
1,demasiadas,1,sectores,1,valiente,1,criterios
1,confundido,1,estratégicos,1,destacar,1,centralizada
1,humanos,1,aprovechando,1,inició,1,anunciada
1,hora,1,acciones,1,oferta,1,semanas
1,identificar,1,extrema,1,adecuando,1,enfoca
1,enemigos,1,volatilidad,1,requerimientos,1,direcciones
1,equivocarnos,1,financieros,1,vendiendo,1,podamos
1,enemigo,1,vivimos,1,plazas,1,mercado
1,combatirlo,1,trascendente,1,cabra,1,disfruten
1,ilustrativo,1,refuerzo,1,tren,1,disfunción
1,conozcan,1,fundamental,1,ochenta,1,serbios
1,colectiva,1,desarrollo,1,subo,1,necesitamos
1,viruses,1,cura,1,autorización,1,excluye
1,reducir,1,dedicar,1,aena,1,actores
1,tenerla,1,treinta,1,equivalente,1,ford
1,difíciles,1,dinero,1,relajamos,1,comprando
1,empezarán,1,dedicado,1,anteriormente,1,estén
1,fruto,1,investigaciones,1,minimizar,1,actuación
1,consigamos,1,científicas,1,boletín,1,puntual
1,doblegar,1,instituto,1,oficial,1,organizar
1,observamos,1,tercero,1,ministerial,1,identificada
1,difusión,1,precisos,1,determinadas,1,justo
1,asciende,1,supone,1,ocupar,1,posterior
1,flecha,1,colosal,1,ocupación,1,raza
1,lenta,1,bastar,1,dejar,1,miren
1,logro,1,necesitan,1,obligatoriamente,1,lloren
1,colectivo,1,suplementario,1,fila,1,deportes
1,comenzara,1,venir,1,libre,1,individuales
1,número,1,preservar,1,conductores,1,andando
1,altas,1,indispensable,1,dispongan,1,estrecha
1,superior,1,idea,1,específico,1,iría
1,infectados,1,tratarse,1,protección,1,ancianos
1,cuadritos,1,adaptación,1,mamparas,1,preparando
1,caiga,1,arrendadores,1,físico,1,efectivamente
1,picado,1,proveedores,1,deba,1,explicaba
1,recuperara,1,bienes,1,embarcar,1,habido
1,contemos,1,receptores,1,puerta,1,escasez
1,evita,1,empleadores,1,trasera,1,bistec
1,futuras,1,acreedores,1,incluye,1,conversar
1,aparecen,1,ocupar,1,regulación,1,hablado
1,inspirados,1,posición,1,específica,1,personalmente
1,confusión,1,comprensivos,1,arrendamiento,1,proveer
1,rabia,1,rápidos,1,rentas,1,acordado
1,angustia,1,fuertes,1,viable,1,básicamente
1,comprensible,1,encarna,1,ejerzan,1,carácter
1,dañen,1,movilizarse,1,taxis,1,ordenarse
1,ánimo,1,movilizando,1,súbete,1,subjetivo
1,amenaza,1,precisa,1,ces,1,consta
1,desconocido,1,trasladando,1,utilizados,1,mayoria
1,reacción,1,adaptándonos,1,pasajero,1,generamos
1,humana,1,observando,1,supuestos,1,categoría
1,actuar,1,grupales,1,autoriza,1,ciudad
1,unidas,1,adaptado,1,dependientes,1,cerrar
1,frenamos,1,declaración,1,profesional,1,mínimas
1,cortemos,1,limita,1,prorrogado,1,restitución
1,pánico,1,libertad,1,certificados,1,visitas
1,paremos,1,circulación,1,transportistas,1,mínima
1,bulos,1,villas,1,meses,1,sabíamos
1,especulaciones,1,espacios,1,operar,1,constatado
1,ficticios,1,playas,1,autorizados,1,discos
1,contrastada,1,realizarse,1,conectividad,1,sergio
1,certeza,1,individual,1,baleares,1,hiciste
1,coordinados,1,contemplaba,1,canarias,1,ocurrido
1,eficacia,1,acompañó,1,sendas,1,personaliza
1,terrazas,1,discapacidad,1,notas,1,presidenta
1,cuidemos,1,exista,1,detalle,1,madrileña
1,rutina,1,causa,1,autorizado,1,isabel
1,puestos,1,debidamente,1,prestar,1,ayuso
1,visitaremos,1,justificados,1,terminar,1,acusa
1,amigos,1,abran,1,trasladar,1,detener
1,famosos,1,establecimientos,1,asociaciones,1,reales
1,amigas,1,centros,1,ponen,1,acusación
1,queridos,1,clínicas,1,disposición,1,injusta
1,llevaremos,1,veterinarias,1,contribuir,1,discusión
1,parque,1,pecuaria,1,reacción,1,enfocado
1,recuperación,1,limitará,1,resolver,1,vencer
1,vuelta,1,domicilio,1,maría,1,convocó
1,normalidad,1,autoridad,1,oh,1,iraquí
1,llegue,1,competente,1,inventando,1,demos
1,derroche,1,suspender,1,ben,1,salió
1,energías,1,cualquiera,1,vayamos,1,democracia
1,precisas,1,suponer,1,matizó,1,hidalgo
1,perdamos,1,riesgo,1,probablemente,1,matriz
1,rumbo,1,condiciones,1,aproximando,1,veinticuatro
1,escapa,1,específicas,1,peces,1,rusia
1,tiempos,1,habilita,1,dificiles,1,cuantificó
1,dificultad,1,modificar,1,aumento,1,mascarilla
1,compartido,1,ampliar,1,tasa,1,toros
1,protege,1,restringir,1,crecimiento,1,cuya
1,queden,1,responderse,1,reduciendo,1,conforme
1,proveerles,1,previstas,1,evan,1,pidiendo
1,coordinarse,1,adentramos,1,tensión,1,requisaron
1,atine,1,lluvias,1,pasemos,1,impedimento
1,extremar,1,trascendental,1,empecemos,1,simplemente
1,atienda,1,preocupación,1,descender,1,detectan
1,mantener,1,pásame,1,asegurarnos,1,abuso
1,compromiso,1,confusión,1,misa,1,precio
1,mil,1,incertidumbre,1,ejecutando,1,tráfico
1,hablaron,1,llantas,1,mecanismos,1,ilícito
